mouse;Special Interest;age;count;scaled count
n11_20241103_p1_7;S1BF;p1-7;285;0.005626184459886292
n11_20241103_p1_7;lower limb;p1-7;21;0.0004145609602021478
n11_20241103_p1_7;mouth;p1-7;107;0.0021122867972204673
n11_20241103_p1_7;nose;p1-7;44;0.000868603916614024
n11_20241103_p1_7;trunk;p1-7;28;0.000552747946936197
n11_20241103_p1_7;unassigned;p1-7;9;0.00017766898294377764
n11_20241103_p1_7;upper limb;p1-7;30;0.0005922299431459254
n1_20241209_p7_13;S1BF;p7-13;5;0.0013717421124828533
n1_20241209_p7_13;lower limb;p7-13;1;0.00027434842249657066
n1_20241209_p7_13;mouth;p7-13;1;0.00027434842249657066
n1_20241209_p7_13;trunk;p7-13;1;0.00027434842249657066
n1_20241209_p7_13;upper limb;p7-13;1;0.00027434842249657066
n2_20241203_p7_13;S1BF;p7-13;9;0.00130699970955562
n2_20241203_p7_13;lower limb;p7-13;3;0.0004356665698518734
n2_20241203_p7_13;mouth;p7-13;4;0.0005808887598024978
n2_20241203_p7_13;nose;p7-13;1;0.00014522218995062446
n2_20241203_p7_13;trunk;p7-13;4;0.0005808887598024978
n2_20241203_p7_13;upper limb;p7-13;1;0.00014522218995062446
n2_20241209_p7_13;S1BF;p7-13;3;0.0035714285714285718
n2_20241209_p7_13;lower limb;p7-13;2;0.002380952380952381
n2_20241209_p7_13;mouth;p7-13;1;0.0011904761904761906
n2_20241209_p7_13;trunk;p7-13;1;0.0011904761904761906
n2_20241209_p7_13;unassigned;p7-13;3;0.0035714285714285718
n2_20241209_p7_13;upper limb;p7-13;4;0.004761904761904762
n3_20241010_p1_7;S1BF;p1-7;4;0.0011210762331838565
n3_20241010_p1_7;lower limb;p1-7;3;0.0008408071748878924
n3_20241010_p1_7;mouth;p1-7;2;0.0005605381165919282
n3_20241010_p1_7;trunk;p1-7;2;0.0005605381165919282
n3_20241010_p1_7;unassigned;p1-7;1;0.0002802690582959641
n3_20241010_p1_7;upper limb;p1-7;2;0.0005605381165919282
n4_20241203_p7_13;S1BF;p7-13;2;0.0006691201070592171
n4_20241203_p7_13;mouth;p7-13;1;0.00033456005352960856
n4_20241203_p7_13;nose;p7-13;1;0.00033456005352960856
n4_20241203_p7_13;upper limb;p7-13;1;0.00033456005352960856
n4_20241209_p7_13;S1BF;p7-13;5;0.0007498500299940011
n4_20241209_p7_13;mouth;p7-13;2;0.00029994001199760045
n5_20241103_p1_7;S1BF;p1-7;123;0.002233196557609209
n5_20241103_p1_7;lower limb;p1-7;6;0.00010893641744435164
n5_20241103_p1_7;mouth;p1-7;12;0.0002178728348887033
n5_20241103_p1_7;nose;p1-7;9;0.00016340462616652748
n5_20241103_p1_7;trunk;p1-7;16;0.00029049711318493773
n5_20241103_p1_7;unassigned;p1-7;4;7.262427829623443e-05
n5_20241103_p1_7;upper limb;p1-7;4;7.262427829623443e-05
n5_20241203_p7_13;S1BF;p7-13;34;0.0030349013657056147
n5_20241203_p7_13;lower limb;p7-13;26;0.0023208069267160584
n5_20241203_p7_13;mouth;p7-13;1;8.926180487369455e-05
n5_20241203_p7_13;nose;p7-13;23;0.0020530215120949744
n5_20241203_p7_13;trunk;p7-13;28;0.002499330536463447
n5_20241203_p7_13;unassigned;p7-13;5;0.0004463090243684727
n5_20241203_p7_13;upper limb;p7-13;9;0.000803356243863251
